payment_id,customer_id,ticket_id,amount,payment_method,payment_status,payment_date
P001,C001,T001,11510.81,Credit Card,Success,2026-07-06
P002,C002,T002,125.7,Credit Card,Success,2026-07-06
P003,C003,T003,1625.77,Credit Card,Success,2026-07-06
P004,C004,T004,636.81,Credit Card,Success,2026-07-06
P005,C005,T005,1205.8,Credit Card,Success,2026-07-06
P006,C006,T006,46641.06,Credit Card,Success,2026-07-06
P007,C007,T007,1103.65,Credit Card,Success,2026-07-06
P008,C008,T008,5771.32,Credit Card,Success,2026-07-06
P009,C009,T009,27993.46,Credit Card,Success,2026-07-06
P010,C010,T010,131.34,Credit Card,Success,2026-07-06
P011,C011,T011,57397.84,Credit Card,Success,2026-07-06
P012,C012,T012,35410.79,Credit Card,Success,2026-07-06
P013,C013,T013,14.97,Credit Card,Success,2026-07-06
P014,C014,T014,184.59,Credit Card,Success,2026-07-06
P015,C015,T015,214.68,Credit Card,Success,2026-07-06
P016,C016,T016,364.7,Credit Card,Success,2026-07-06
P017,C017,T017,5014.94,Credit Card,Success,2026-07-06
P018,C018,T018,124978.81,Credit Card,Success,2026-07-06
P019,C019,T019,21308.13,Credit Card,Success,2026-07-06
P020,C020,T020,4251.41,Credit Card,Success,2026-07-06
P021,C021,T021,10966.03,Credit Card,Success,2026-07-06
P022,C022,T022,296.47,Credit Card,Success,2026-07-06
P023,C023,T023,2123.87,Credit Card,Success,2026-07-06
P024,C024,T024,26780.04,Credit Card,Success,2026-07-06
P025,C025,T025,1070.83,Credit Card,Success,2026-07-06
P026,C026,T026,1021.64,Credit Card,Success,2026-07-06
P027,C027,T027,100496.36,Credit Card,Success,2026-07-06
P028,C028,T028,5531.37,Credit Card,Success,2026-07-06
P029,C029,T029,2077.88,Credit Card,Success,2026-07-06
P030,C030,T030,155507.16,Credit Card,Success,2026-07-06
